boostedAt,closingAt,createdAt,executedAt,executionState,expiresInQueueAt,id,preBoostedAt,proposer,stage,stakesAgainst,stakesFor,totalRepWhenCreated,totalRepWhenExecuted,votesAgainst,votesFor,winningOutcome,dao,queuedVoteRequiredPercentage,network
,1598456194,1594568176,1598456194.0,QueueTimeOut,1598456176,0x065138adc0003b9bab76f90a46fbfd381153b6352aa3a7fe82584f4659c77a19,1595305621.0,0xc4d9d1a93068d311ab18e988244123430eb4f1cd,ExpiredInQueue,3000000000000000000000,3000000000000000000000,1227183545613902784211263,1227183545613902784211263,0,2490022677611031337532,Pass,0x519b70055af55a007110b4ff99b0ea33071c720a,50,mainnet
,1588177157,1584207396,1588177157.0,QueueTimeOut,1588095396,0x065b9659c09ab315219b49ace46a7a3edb1d9e7ebd5636d6cdfb307be79acf77,,0xb33b9fba681653fe263b31a95766d83d18c2128d,ExpiredInQueue,250000000000000000000,0,1008460514844475278975098,1008460514844475278975098,156275887018385229989311,0,Fail,0x519b70055af55a007110b4ff99b0ea33071c720a,50,mainnet
1605675440.0,1606280268,1605588587,1606280268.0,BoostedTimeOut,1609476587,0x066de32ab70c8bb3090edfe7c170041d3046c480a446f1858c6a18788ece97c4,1605589034.0,0x91628ddc3a6ff9b48a2f34fc315d243eb07a9501,Executed,250000000000000000000,400000000000000000000,1409700678375559942864151,1409700678375559942864151,0,90706335669715977147976,Pass,0x519b70055af55a007110b4ff99b0ea33071c720a,50,mainnet
,1572832816,1572227980,1572832816.0,QueueTimeOut,1572832780,0x0679de28255b53a9340d37acd0b9e85142be10d608fb937bf7cdfacf6604f557,,0xea7855dca11f86cdb7a40f0dfccbba61661d74a1,ExpiredInQueue,50000000000000000000,0,141150443009099789280602,141150443009099789280602,91991819805901687177,0,Fail,0x6bee9b81e434f7afce72a43a4016719315069539,50,mainnet
,1574702095,1574699268,1574702095.0,PreBoostedBarCrossed,1575304068,0x067ca2de1e6ae37b66c5dc9484ad6baea29f3854b84515d4ec2a8c2587b51f48,1574700476.0,0xb1b7586656116d546033e3baff69bfcd6592225e,Executed,50000000000000000000,51000000000000000000,123000000000000000000,123000000000000000000,0,123000000000000000000,Pass,0x7a373624d7c34b3d1bb77ee0422d7cbf3172e66f,50,mainnet
1556377383.0,1556724574,1556046881,1556724574.0,BoostedTimeOut,1558638881,0x0696675a0388e88137156b6d00cf504a89e27d28e743e43cc94b63908ab372d1,1556288209.0,0xba52487ead64fcf6c1d1707f842bdf4540004f25,Executed,150000000000000000000,451000000000000000000,26378971336382209281294,26378971336382209281294,0,1051001216020176439242,Pass,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,50,mainnet
1586980572.0,1587326180,1585596988,1587326180.0,BoostedTimeOut,1588188988,0x06d7771d8b4343ee516f8b0ad4a186bf86d6af0a9f66afcbc77d4f24d3b7e60d,1586894161.0,0xced608aa29bb92185d9b6340adcbfa263dae075b,Executed,150000000000000000000,1300000000000000000000,5548544000000000000000,5548544000000000000000,0,811072000000000000000,Pass,0xafdd1eb2511cd891acf2bff82dabf47e0c914d24,50,mainnet
1570796609.0,1571142210,1570657956,1571142210.0,BoostedTimeOut,1573249956,0x0735cbd743d6a416c04cf3c851b3513f21461f55da8bcadfa3e9eae6713b145b,1570710197.0,0xd3183edf513b2f6aab13ef46f781c9414c06a58e,Executed,150000000000000000000,1500000000000000000000,45177615817525793310337,45177615817525793310337,0,1155370520061808519874,Pass,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,50,mainnet
1599680833.0,1600285666,1599465656,1600285666.0,BoostedTimeOut,1603353656,0x074bba4a35b8932025cc63499cc8a60cbae8956ddbbd26c0e79682f53a6177d6,1599594316.0,0xb33b9fba681653fe263b31a95766d83d18c2128d,Executed,250000000000000000000,1790000000000000000000,1285806188791920826629701,1285806188791920826629701,0,113432035469967515498435,Pass,0x519b70055af55a007110b4ff99b0ea33071c720a,50,mainnet
1590234642.0,1590364300,1590190888,1590364300.0,BoostedTimeOut,1590795688,0x0762b6cc4c273a9a86e26e29d46163532864d29a6179901b092e488d441c3907,1590191436.0,0x639749b7b08aee65039c21d8a411103c6cebebf0,Executed,50000000000000000000,75000000000000000000,390769514031806896350764,390769514031806896350764,0,61599614143072260144842,Pass,0xd358d4f159e6fae32d1b6096bdace829a5fe33fb,50,mainnet
